,importance,latitude,longitude,prices,sale_dates,Non-Newbuild,Detached,Flat,Semi Detached,Terraced,Freehold,Leasehold,amenity,building,highway,landuse,place,cafe,fast_food,footway,house,living_street,neighbourhood,pedestrian,primary,residential,restaurant,secondary,service,studio,suburb,tertiary,trunk,uncategoryified,yes
68,0.51,51.4901768,-0.2151271,990000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
69,0.51,51.4220425,-0.1458572,970000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
70,0.4209999999999999,51.46673295,0.159609255861428,490000.0,2018-10-19,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71,0.6849999999999999,51.4591183,-0.0008346,310000.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
72,0.61,51.4411249,0.0073961,410000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
73,0.6199999999999999,51.4873935,0.0879324,412000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
74,0.61,51.6052064,-0.0743217,570000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
75,0.61,51.4958669,-0.3104261,390000.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
76,0.621,51.5140051,-0.2004915,2575000.0,2018-10-19,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,0.5199999999999999,51.5635738,-0.0069433,805000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
78,0.61,51.6244348,-0.1574097,280000.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
79,0.5199999999999999,51.4083358,-0.1389892,361500.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
80,0.621,51.6282475,-0.155409649256303,395000.0,2018-10-19,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
81,0.5199999999999999,51.5245369,-0.2883487,1050000.0,2018-10-19,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
82,0.5209999999999999,51.4560604,-0.066321147300605,1115000.0,2018-10-19,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
83,0.51,51.5811991,-0.082992,657700.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
84,0.71,51.5759262,-0.0177814,630000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
85,0.5199999999999999,51.5194299,-0.1509647,502500.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
86,0.51,51.5470812,-0.1294203,475000.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
87,0.51,51.6417643,-0.0548036,490000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
88,0.51,51.5805224,-0.10281,835000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
89,0.51,51.6319573,-0.0489948,352000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
90,0.5309999999999999,51.5958498782609,-0.0166323739130435,773500.0,2018-10-19,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
91,0.51,51.5564263,-0.083998,500000.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
92,0.5209999999999999,51.6338508,-0.174535303273855,1225000.0,2018-10-19,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
93,0.385,51.52405605,-0.009335076,300000.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
94,0.61,51.590449,-0.107133,785000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
95,0.61,51.5843709,-0.2701739,710000.0,2018-10-19,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
96,0.71,51.488362,-0.2269384,395000.0,2018-10-19,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
97,0.5309999999999999,51.5867205,-0.02517005,425000.0,2018-10-19,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,0.61,51.5957895,-0.1444583,1170000.0,2018-10-19,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
99,0.51,51.5511386,0.0242466,385000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
100,0.51,51.531542,0.0456663,367500.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
101,0.71,51.4887068,-0.1641509,2250000.0,2018-10-19,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
