,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
1566,"Flat 2 122 Lower Richmond Road, London, SW15 1LN",Non-Newbuild,highway,Flat,0.61,51.4683926,Leasehold,-0.2288704,449500.0,2018-08-31,secondary
1567,"25a Alma Road, London, SW18 1AA",Non-Newbuild,highway,Flat,0.51,51.4593722,Leasehold,-0.1861135,385000.0,2018-08-31,residential
1568,"Flat 18 Dumain Court Opal Street, London, SE11 4SB",Non-Newbuild,,Flat,,,Leasehold,,410000.0,2018-08-31,
1569,"97a Grosvenor Park, London, SE5 0NJ",Non-Newbuild,highway,Terraced,0.52,51.4808922,Leasehold,-0.0991416,590000.0,2018-08-31,residential
1570,"Flat 1 Buchanan House Kingswood Estate, London, SE21 8PF",Non-Newbuild,,Flat,,,Leasehold,,285000.0,2018-08-31,
1571,"Flat 1 Selbourne House, 30 Grayshott Road, London, SW11 5UR",Non-Newbuild,,Flat,,,Leasehold,,430000.0,2018-08-31,
1572,"12 Tizzard Grove, London, SE3 9DH",Non-Newbuild,,Terraced,,,Freehold,,1050000.0,2018-08-31,
1573,"Flat 2 Torre Vista, 45 Loampit Vale, London, SE13 7FT",Non-Newbuild,,Flat,,,Leasehold,,267000.0,2018-08-31,
1574,"16 Bader Way, London, SW15 5GD",Non-Newbuild,highway,Flat,0.61,51.4532505,Leasehold,-0.2424051,462000.0,2018-08-31,residential
1575,"Flat 19 Walcot House East Dulwich Estate, London, SE22 8AD",Non-Newbuild,,Flat,,,Leasehold,,380000.0,2018-08-31,
1576,"Flat 3 Wellington Lodge, 25a Denton Street, London, SW18 2JR",Non-Newbuild,,Flat,,,Leasehold,,330000.0,2018-08-31,
1577,"8c St Anns Crescent, London, SW18 2LR",Non-Newbuild,highway,Flat,0.51,51.4537451,Leasehold,-0.1849775,365000.0,2018-08-31,residential
1578,"27 Federation Road, London, SE2 0JT",Non-Newbuild,highway,Terraced,0.51,51.4869693,Freehold,0.117757,410000.0,2018-08-31,residential
1579,"61 Waldstock Road, London, SE28 8SF",Non-Newbuild,highway,Terraced,0.61,51.5048514,Freehold,0.1073577,280000.0,2018-08-31,residential
1580,"66 Chaucer Drive, London, SE1 5RG",Non-Newbuild,highway,Flat,0.61,51.4894823,Leasehold,-0.0740409,197500.0,2018-08-31,residential
1581,"218 Lucey Way, London, SE16 3UG",Non-Newbuild,highway,Flat,0.485,51.4941013,Leasehold,-0.0652411,415000.0,2018-08-31,service
1582,"129 Casino Avenue, London, SE24 9PP",Non-Newbuild,highway,Semi Detached,0.52,51.4572179,Freehold,-0.0923571,825000.0,2018-08-31,residential
1583,"36a Longhurst Road, London, SE13 5LP",Non-Newbuild,highway,Flat,0.41,51.38779305,Leasehold,-0.0631417,402500.0,2018-08-31,residential
1584,"Flat 10 Elite House, 101 Broadwater Road, London, SW17 0GR",Non-Newbuild,,Flat,,,Leasehold,,420000.0,2018-08-31,
1585,"26 St James House, 52 Blackheath Hill, London, SE10 8EN",Non-Newbuild,,Flat,,,Leasehold,,520000.0,2018-08-31,
1586,"Flat 9 Redpath House, 355 Norwood Road, London, SE27 9BQ",Non-Newbuild,,Flat,,,Leasehold,,300000.0,2018-08-31,
1587,"Apartment 45 Drew House, 21 Wharf Street, London, SE8 3GG",Non-Newbuild,,Flat,,,Leasehold,,900000.0,2018-08-31,
1588,"Flat 2 296 Trinity Road, London, SW18 3RG",Non-Newbuild,,Flat,,,Leasehold,,420000.0,2018-08-31,
1589,"95 Revelon Road, Brockley, London, SE4 2PW",Non-Newbuild,highway,Terraced,0.72,51.4616332,Freehold,-0.0432675,532500.0,2018-08-31,residential
1590,"Flat 91 Vesta House, 4 Liberty Bridge Road, London, E20 1GT",Non-Newbuild,,Flat,,,Leasehold,,556000.0,2018-08-31,
1591,"68 Old Woolwich Road, London, SE10 9NY",Non-Newbuild,highway,Terraced,0.62,51.4852911,Freehold,0.0030144,560000.0,2018-08-31,residential
1592,"15 Farrow Lane, London, SE14 5DB",Non-Newbuild,highway,Flat,0.52,51.4796064,Leasehold,-0.0520788,345000.0,2018-08-31,residential
1593,"Flat 7 57 Webber Street, London, SE1 0RF",Non-Newbuild,,Flat,,,Leasehold,,1050000.0,2018-08-31,
1594,"87 Burntwood Lane, London, SW17 0AJ",Non-Newbuild,building,Flat,0.511,51.43704665,Leasehold,-0.183204225268,700000.0,2018-08-31,yes
1595,"5a Ravenstone Street, Balham, London, SW12 9ST",Non-Newbuild,place,Flat,0.521,51.4421131182,Leasehold,-0.153168327273,685000.0,2018-08-31,house
1596,"Flat 10 Hever House, 7 Lovelinch Close, London, SE15 1HA",Non-Newbuild,,Flat,,,Leasehold,,325000.0,2018-08-31,
1597,"57 Colfe Road, London, SE23 2ES",Non-Newbuild,highway,Terraced,0.51,51.4397842,Leasehold,-0.0440673,435000.0,2018-08-31,residential
1598,"77 Strongbow Crescent, Eltham, London, SE9 1DW",Non-Newbuild,highway,Semi Detached,0.585,51.454653,Freehold,0.052852,415000.0,2018-08-31,footway
1599,"33 - 49 Deptford Bridge, London, SE8 4HH",Non-Newbuild,highway,,0.62,51.4745523,Freehold,-0.0231831,184000.0,2018-08-31,trunk
1600,"24 East Acton Lane, London, W3 7EG",Non-Newbuild,highway,Semi Detached,0.72,51.5127896,Freehold,-0.2504365,760000.0,2018-08-31,tertiary
1601,"17 Plummer Road, London, SW4 8HQ",Non-Newbuild,highway,Flat,0.61,51.4491515,Leasehold,-0.1337061,325000.0,2018-08-31,residential
1602,"Flat 3 Seville House 11 & A Half Wapping High Street, London, E1W 1NX",Non-Newbuild,,Flat,,,Leasehold,,505000.0,2018-08-31,
1603,"Flat 112 Kelson House Stewart Street, London, E14 3JN",Non-Newbuild,,Flat,,,Leasehold,,325000.0,2018-08-31,
1604,"64 Bathgate Road, London, SW19 5PH",Non-Newbuild,highway,Detached,0.51,51.4378307,Freehold,-0.2147811,3350000.0,2018-08-31,residential
1605,"Flat 2 139 Northcote Road, London, SW11 6PX",Non-Newbuild,,,,,Leasehold,,660850.0,2018-08-31,
1606,"Flat 1 39 Atherton Road, London, E7 9AJ",Non-Newbuild,,Flat,,,Leasehold,,175000.0,2018-08-31,
1607,"12 Shelford Rise, London, SE19 2PX",Non-Newbuild,highway,Terraced,0.61,51.4137212,Freehold,-0.0816842,625000.0,2018-08-31,residential
1608,"40 Old Devonshire Road, London, SW12 9RB",Non-Newbuild,highway,,0.61,51.4467139,Freehold,-0.1493683,450000.0,2018-08-31,residential
1609,"Bdm Logistics & Management Ltd, 16 Armada Way, London, E6 7AB",Non-Newbuild,building,,0.201,51.50933305,Leasehold,0.0732775112709,19080000.0,2018-08-31,yes
1610,"Flat 3 103 Albert Road, London, SE25 4JE",Non-Newbuild,,Flat,,,Leasehold,,310000.0,2018-08-31,
1611,"198 The Grove, London, E15 1NS",Non-Newbuild,amenity,,0.621,51.5453515,Leasehold,0.004369,65000.0,2018-08-31,restaurant
1612,"28 Park Grove, London, E15 3QT",Non-Newbuild,,Terraced,,,Freehold,,490000.0,2018-08-31,
1613,"25 Baronsmead Road, London, SW13 9RR",Non-Newbuild,highway,Semi Detached,0.61,51.4773147,Freehold,-0.239457,2375000.0,2018-08-31,residential
1614,"Flat 67 Rowland Hill House Nelson Square, London, SE1 0LT",Non-Newbuild,,,,,Leasehold,,521000.0,2018-08-31,
1615,"Flat 3 Woodcroft Apartments Silverworks Close, London, NW9 0DW",Newbuild,,Flat,,,Leasehold,,441250.0,2018-08-31,
1616,"961a Fulham Road, London, SW6 5HY",Non-Newbuild,highway,,0.51,51.4806005,Leasehold,-0.1887003,899950.0,2018-08-31,primary
1617,"Apartment 18 24 Albert Embankment, London, SE1 7GJ",Newbuild,,Flat,,,Leasehold,,873000.0,2018-08-31,
1618,"Flat 16 The Power House, 70 Chiswick High Road, London, W4 1SY",Non-Newbuild,,Flat,,,Leasehold,,557500.0,2018-08-31,
1619,"3a Havant Road, Walthamstow, London, E17 3JE",Non-Newbuild,,Terraced,,,Freehold,,300000.0,2018-08-31,
1620,"Unit 24 250 Milkwood Road, London, SE24 0HG",Non-Newbuild,,,,,Leasehold,,750000.0,2018-08-31,
1621,"Ground Floor Flat 80 Priory Park Road, London, NW6 7UN",Non-Newbuild,,Flat,,,Leasehold,,580000.0,2018-08-31,
1622,"24 Sussex Gardens, London, W2 1UL",Non-Newbuild,highway,,0.61,51.517375,Freehold,-0.1687552,4400000.0,2018-08-31,trunk
1623,"20 Whittell Gardens, London, SE26 4LN",Non-Newbuild,highway,Semi Detached,0.61,51.4318788,Freehold,-0.0560938,490000.0,2018-08-31,residential
1624,"76 Landseer Road, London, N19 4JP",Non-Newbuild,highway,Terraced,0.51,51.5631622,Freehold,-0.121772,870000.0,2018-08-31,residential
1625,"Parking Space And Storeroom 19 4 - 20 Tedworth Square, London, SW3 4DY",Non-Newbuild,,,,,Leasehold,,308000.0,2018-08-31,
1626,"35 Worcester Avenue, London, N17 0TU",Non-Newbuild,highway,Terraced,0.61,51.60482,Freehold,-0.0647129,650000.0,2018-08-31,residential
1627,"51 Eynham Road, London, W12 0HB",Non-Newbuild,highway,Terraced,0.51,51.5180095,Freehold,-0.2261145,980000.0,2018-08-31,residential
1628,"124 Queen's Gate, London, SW7 5LJ",Non-Newbuild,highway,,0.817078488589,51.4988527,Freehold,-0.1796812,28000.0,2018-08-31,tertiary
1629,"28 Crescent Road, London, N9 7QH",Non-Newbuild,highway,Terraced,0.61,51.6316101,Freehold,-0.059666,445000.0,2018-08-31,residential
1630,"54 Pilgrims Lane, London, NW3 1SN",Non-Newbuild,highway,Terraced,0.51,51.5567423,Freehold,-0.1705277,3600000.0,2018-08-31,residential
1631,"Ground Floor 84 - 90 Holland Park Avenue, London, W11 3RB",Non-Newbuild,,,,,Leasehold,,125000.0,2018-08-31,
1632,"139 South Lodge Drive, London, N14 4XH",Non-Newbuild,highway,Semi Detached,0.61,51.6452398,Freehold,-0.1229268,600000.0,2018-08-31,residential
1633,"42 Cardigan Road, London, E3 5HT",Non-Newbuild,,Terraced,,,Freehold,,818500.0,2018-08-31,
1634,"93 Denzil Road, London, NW10 2UY",Non-Newbuild,highway,,0.51,51.5515162,Freehold,-0.2468352,525000.0,2018-08-31,residential
1635,"41 Frankfurt Road, Herne Hill, London, SE24 9NX",Non-Newbuild,highway,Terraced,0.51,51.4565678,Freehold,-0.0951595,1108000.0,2018-08-31,residential
1636,"58 Portia Way, Mile End, London, E3 4JH",Non-Newbuild,highway,Flat,0.71,51.5207198,Leasehold,-0.0316374,415000.0,2018-08-31,residential
1637,"60 Coppermill Lane, London, E17 7HB",Non-Newbuild,,,,,Freehold,,20696.0,2018-08-31,
1638,"Maisonette 25 Nelson Walk, London, E3 3FS",Non-Newbuild,,Flat,,,Leasehold,,490000.0,2018-08-31,
1639,"Flat 35 Marshall House Cranston Estate, London, N1 6TX",Non-Newbuild,,Flat,,,Leasehold,,505000.0,2018-08-31,
1640,"9 Furness Road, London, SW6 2LQ",Non-Newbuild,highway,,0.61,51.4719327,Freehold,-0.1879199,890000.0,2018-08-31,residential
1641,"8 North Common Road, London, W5 2QB",Non-Newbuild,highway,,0.61,51.5545636,Freehold,-0.4718772,43000.0,2018-08-31,residential
1642,"62 - 64 Queens Crescent, London, NW5 4EE",Non-Newbuild,highway,,0.51,51.5510612,Leasehold,-0.1488352,1000000.0,2018-08-31,residential
1643,"60 Station Road, Chingford, London, E4 7BE",Non-Newbuild,landuse,,0.62,51.6324399,Freehold,0.00648642486917,600000.0,2018-08-31,retail
1644,"Flat 17 Tudor House Tudor Grove, London, E9 7QJ",Non-Newbuild,,Flat,,,Leasehold,,435000.0,2018-08-31,
1645,"21a Petersfield Road, London, W3 8NY",Non-Newbuild,highway,Flat,0.51,51.5039498,Leasehold,-0.2662216,336000.0,2018-08-31,residential
1646,"33 Iverna Court, London, W8 6TR",Non-Newbuild,highway,,0.51,51.5000975,Leasehold,-0.1936263,1860000.0,2018-08-31,residential
1647,"79 Flintmill Crescent, London, SE3 8LU",Non-Newbuild,highway,Flat,0.61,51.4660095,Leasehold,0.0448542,260000.0,2018-08-31,residential
1648,"Flat 2 49 The Drive, Chingford, London, E4 7AJ",Non-Newbuild,highway,Flat,0.63,51.6343976,Leasehold,0.0068193,325000.0,2018-08-31,residential
1649,"234 Barking Road, London, E6 3BB",Non-Newbuild,highway,,0.51,51.5362483,Freehold,0.0684815,278000.0,2018-08-31,primary
1650,"75 Corry Drive, London, SW9 8QS",Non-Newbuild,highway,Terraced,0.61,51.4602051,Freehold,-0.1063431,415000.0,2018-08-31,residential
1651,"Flat 3 11 The Common, London, W5 3TR",Non-Newbuild,highway,Flat,0.3,51.70076025,Leasehold,-0.306163621291,345000.0,2018-08-31,uncategoryified
1652,"43a Cumberland Park, London, W3 6SX",Non-Newbuild,highway,Flat,0.51,51.5125098,Leasehold,-0.2653477,396000.0,2018-08-31,residential
1653,"Flat 32 Lido House Northfield Avenue, London, W13 9LD",Non-Newbuild,,Flat,,,Leasehold,,315000.0,2018-08-31,
1654,"Flat 106 Ceram Court, 10 Seven Sea Gardens, London, E3 3GW",Non-Newbuild,,Flat,,,Leasehold,,350000.0,2018-08-31,
1655,"260 Latimer Road, London, W10 6QY",Non-Newbuild,highway,Terraced,0.61,51.5179922,Freehold,-0.2243013,875000.0,2018-08-31,residential
1656,"226 Upper Richmond Road West, East Sheen, London, SW14 8AH",Non-Newbuild,highway,,0.91,51.4641374,Freehold,-0.271143,50000.0,2018-08-31,trunk
1657,"20 Lakeside Avenue, London, SE28 8RU",Non-Newbuild,highway,Semi Detached,0.61,51.4991763,Freehold,0.1058903,236000.0,2018-08-31,residential
1658,"226 Upper Richmond Road West, East Sheen, London, SW14 8AH",Non-Newbuild,highway,,0.91,51.4641374,Leasehold,-0.271143,365000.0,2018-08-31,trunk
1659,"59 Kensington Avenue, London, E12 6NW",Non-Newbuild,highway,Terraced,0.52,51.5417376,Freehold,0.0505302,425000.0,2018-08-30,residential
1660,"38 Bemsted Road, London, E17 5JZ",Non-Newbuild,highway,Flat,0.52,51.5900122,Leasehold,-0.0255076,450000.0,2018-08-30,residential
1661,"Flat 3 46 Gordon Road, London, W5 2AR",Non-Newbuild,,Flat,,,Leasehold,,610000.0,2018-08-30,
1662,"Flat 6 Ladyfern House Gale Street, London, E3 3RQ",Non-Newbuild,,Flat,,,Leasehold,,375000.0,2018-08-30,
1663,"Flat 13 Capri House, 1 Beaufort Square, London, NW9 4BN",Newbuild,,Flat,,,Leasehold,,352450.0,2018-08-30,
1664,"Flat 12 Ruskin Court, 3 Charles Street, London, N19 3FB",Non-Newbuild,,Flat,,,Leasehold,,595000.0,2018-08-30,
1665,"88 - 96 Haberdasher Street, London, N1 6EJ",Non-Newbuild,highway,Flat,0.51,51.5292063,Leasehold,-0.0856862,460000.0,2018-08-30,residential
1666,"Flat 60 Kingly Building, 18 Woodberry Down, London, N4 2GQ",Newbuild,,Flat,,,Leasehold,,438925.0,2018-08-30,
1667,"42a Manse Road, London, N16 7QD",Non-Newbuild,highway,Flat,0.51,51.5572288,Leasehold,-0.0699271,470000.0,2018-08-30,trunk
1668,"33a Woodland Road, Chingford, London, E4 7ET",Non-Newbuild,,Flat,,,Leasehold,,319950.0,2018-08-30,
1669,"Flat 24 Woodcroft Apartments Silverworks Close, London, NW9 0DW",Newbuild,,Flat,,,Leasehold,,362000.0,2018-08-30,
1670,"Flat 22 Kings Court Mansions, 737 Fulham Road, London, SW6 5PB",Non-Newbuild,,Flat,,,Leasehold,,750000.0,2018-08-30,
1671,"29 Tyrone Road, London, E6 6DT",Non-Newbuild,,Terraced,,,Freehold,,390000.0,2018-08-30,
1672,"9 Stannard Mews, London, E8 1DJ",Non-Newbuild,highway,Flat,0.41,51.5466146,Leasehold,-0.0682648,445000.0,2018-08-30,residential
1673,"Flat 27 Windmill Court Windmill Road, London, W5 4DN",Non-Newbuild,,Flat,,,Leasehold,,465000.0,2018-08-30,
1674,"Flat 5 James Court, 62 Larkshall Road, London, E4 6PW",Non-Newbuild,,Flat,,,Leasehold,,332000.0,2018-08-30,
1675,"12d Bethune Road, London, N16 5BD",Non-Newbuild,highway,Flat,0.61,51.5674884,Leasehold,-0.0784162,242596.0,2018-08-30,tertiary
1676,"Apartment 705 Titanium Point, 24 Palmers Road, London, E2 0FA",Non-Newbuild,,Flat,,,Leasehold,,460000.0,2018-08-30,
1677,"61 Hawkwood Crescent, London, E4 7PH",Non-Newbuild,highway,Semi Detached,0.52,51.6405677,Freehold,-0.006746,567000.0,2018-08-30,residential
1678,"32 Moreno House, 15 Marlowe Road, London, E17 3GT",Newbuild,,Flat,,,Leasehold,,595000.0,2018-08-30,
1679,"Flat 12 Queens Park Penthouses, 105 - 109 Salusbury Road, London, NW6 6RG",Non-Newbuild,,Flat,,,Leasehold,,1080000.0,2018-08-30,
1680,"127 Mount Pleasant Road, London, N17 6TQ",Non-Newbuild,highway,Terraced,0.61,51.5909822,Leasehold,-0.078723,350000.0,2018-08-30,residential
1681,"Flat 2 2 Lyncroft Gardens, London, W13 9PU",Non-Newbuild,highway,Flat,0.61,51.4618957,Leasehold,-0.3555934,325000.0,2018-08-30,residential
1682,"First Floor Flat 48 Cathcart Road, London, SW10 9JQ",Non-Newbuild,,Flat,,,Leasehold,,2250000.0,2018-08-30,
1683,"Apartment 70 Burford Wharf Apartments, 3 Cam Road, London, E15 2SL",Non-Newbuild,,Flat,,,Leasehold,,170000.0,2018-08-30,
1684,"Flat B 5 St Lawrence Terrace, London, W10 5SU",Non-Newbuild,,Flat,,,Leasehold,,717500.0,2018-08-30,
1685,"Flat 4 124 Palmerston Road, London, N22 8RD",Non-Newbuild,,Flat,,,Leasehold,,312000.0,2018-08-30,
1686,"62 Chewton Road, London, E17 7DN",Non-Newbuild,place,Terraced,0.531,51.5842283881,Leasehold,-0.0360056389831,480000.0,2018-08-30,house
1687,"Flat 4 9 Gunnersbury Avenue, London, W5 3NJ",Non-Newbuild,highway,Flat,0.61,51.5035328,Leasehold,-0.2889651,620000.0,2018-08-30,trunk
1688,"27 Whitbread Close, London, N17 0YB",Non-Newbuild,highway,Terraced,0.61,51.6003117,Freehold,-0.0651188,320000.0,2018-08-30,residential
1689,"Lower Flat 10 College Road, London, N21 3LL",Non-Newbuild,,Flat,,,Leasehold,,420000.0,2018-08-30,
1690,"5a Broomfield Avenue, London, N13 4JJ",Non-Newbuild,highway,Flat,0.61,51.6175739,Leasehold,-0.1127155,470000.0,2018-08-30,residential
1691,"65 Cornmow Drive, London, NW10 1BB",Non-Newbuild,highway,Flat,0.51,51.5548524,Leasehold,-0.2419529,299950.0,2018-08-30,residential
1692,"128 Burges Road, London, E6 2BN",Non-Newbuild,highway,Terraced,0.52,51.5354301,Freehold,0.0671916,400000.0,2018-08-30,residential
1693,"158 Green Pond Close, London, E17 6EF",Non-Newbuild,highway,Flat,0.62,51.5918745,Leasehold,-0.0311232,235000.0,2018-08-30,residential
1694,"86 Star Lane, London, E16 4PR",Non-Newbuild,highway,Terraced,0.51,51.5202676,Freehold,0.0078835,390000.0,2018-08-30,tertiary
1695,"Flat 7 Devon House Hermon Hill, London, E11 2AW",Non-Newbuild,,Flat,,,Leasehold,,390000.0,2018-08-30,
1696,"42 Douglas Road, London, E4 6DA",Non-Newbuild,building,Semi Detached,0.421,51.53959955,Freehold,-0.20237225,650000.0,2018-08-30,yes
1697,"54 Castleton Road, London, E17 4AR",Non-Newbuild,highway,Terraced,0.52,51.5933497,Freehold,0.0027753,180000.0,2018-08-30,residential
1698,"Apartment 36 Orchard Building, 25 Pear Tree Street, London, EC1V 3AP",Non-Newbuild,,Flat,,,Leasehold,,975000.0,2018-08-30,
1699,"Flat 1 58 Hogarth Road, London, SW5 0PX",Non-Newbuild,highway,Flat,0.51,51.4932357,Leasehold,-0.1921471,690000.0,2018-08-30,uncategoryified
1700,"63 Replingham Road, London, SW18 5LU",Non-Newbuild,highway,Terraced,0.51,51.4453601,Freehold,-0.2019373,1052000.0,2018-08-30,tertiary
1701,"10 Gayton Crescent, London, NW3 1TT",Non-Newbuild,highway,Semi Detached,0.61,51.5571349,Freehold,-0.1741226,3575000.0,2018-08-30,residential
1702,"28 Cherry Tree Road, London, N2 9QL",Non-Newbuild,place,Terraced,0.511,41.5021438953,Freehold,-72.305694245,1050000.0,2018-08-30,house
1703,"150 Clonmore Street, London, SW18 5HB",Non-Newbuild,highway,Terraced,0.51,51.442113,Freehold,-0.2031548,1068000.0,2018-08-30,residential
1704,"50 Granham Gardens, London, N9 9QQ",Non-Newbuild,highway,Terraced,0.61,51.6250057,Freehold,-0.068038,457000.0,2018-08-30,residential
1705,"59 Nursery Road, London, N14 5QG",Non-Newbuild,place,Terraced,0.421,51.46289126,Freehold,-0.11729595,515000.0,2018-08-30,house
1706,"78 Tennyson Street, London, SW8 3SX",Non-Newbuild,highway,Terraced,0.51,51.4700471,Freehold,-0.1479607,920000.0,2018-08-30,residential
1707,"16 Northcroft Road, London, W13 9SX",Non-Newbuild,building,Semi Detached,0.621,51.50274525,Freehold,-0.319978519581,810000.0,2018-08-30,yes
1708,"Flat B 13 Maygrove Road, London, NW6 2EE",Non-Newbuild,,Flat,,,Leasehold,,420000.0,2018-08-30,
1709,"75c Cottenham Park Road, London, SW20 0DR",Non-Newbuild,highway,Flat,0.62,51.4159797,Leasehold,-0.2326477,700000.0,2018-08-30,secondary
1710,"Second And Third Floor Flat 19 Belsize Park Gardens, London, NW3 4JG",Non-Newbuild,,Flat,,,Leasehold,,1073500.0,2018-08-30,
1711,"9 Framfield Road, London, W7 1NG",Non-Newbuild,highway,Terraced,0.51,51.5177761,Freehold,-0.334865,650000.0,2018-08-30,residential
1712,"43 Lancaster Road, London, SE25 4BL",Non-Newbuild,highway,Semi Detached,0.61,51.4043467,Freehold,-0.0761143,675000.0,2018-08-30,tertiary
1713,"15 Sedgemere Avenue, London, N2 0SY",Non-Newbuild,highway,Flat,0.61,51.5922234,Leasehold,-0.1778182,570000.0,2018-08-30,residential
1714,"Flat 1 3 Fawley Road, London, NW6 1SL",Non-Newbuild,highway,Flat,0.61,51.5501121,Leasehold,-0.1899463,527500.0,2018-08-30,residential
1715,"38 Grove Park, London, SE5 8LG",Non-Newbuild,building,Semi Detached,0.521,51.46785225,Freehold,-0.0795492,1855000.0,2018-08-30,yes
1716,"Flat 21 Cameron House St Johns Wood Terrace, London, NW8 6LR",Non-Newbuild,,Flat,,,Leasehold,,200000.0,2018-08-30,
1717,"Flat 52 Park House Seven Sisters Road, London, N4 2LS",Non-Newbuild,,Flat,,,Leasehold,,252000.0,2018-08-30,
1718,"14 Daniels Road, London, SE15 3LR",Non-Newbuild,highway,Terraced,0.61,51.4635303,Freehold,-0.0554136,558000.0,2018-08-30,residential
1719,"Flat 19 Langhorne Court Dorman Way, London, NW8 0SD",Non-Newbuild,,Flat,,,Leasehold,,403750.0,2018-08-30,
1720,"Flat 15 Arlington House Tunis Road, London, W12 7EP",Non-Newbuild,,Flat,,,Leasehold,,480000.0,2018-08-30,
1721,"126 Crofton Park Road, London, SE4 1AL",Non-Newbuild,highway,Terraced,0.61,51.45339,Freehold,-0.0333857,762500.0,2018-08-30,tertiary
1722,"115 Goddard Place, London, N19 5GT",Non-Newbuild,highway,Terraced,0.51,51.5602849,Freehold,-0.1352414,750000.0,2018-08-30,uncategoryified
1723,"Flat 10 99 Baker Street, London, W1U 6QQ",Non-Newbuild,,Flat,,,Leasehold,,1800000.0,2018-08-30,
1724,"29 Vanderbilt Road, London, SW18 3BG",Non-Newbuild,highway,Terraced,0.61,51.4452097,Freehold,-0.1885851,1167500.0,2018-08-30,residential
1725,"17 Colne Road, London, N21 2JG",Non-Newbuild,place,Terraced,0.421,51.5533896429,Freehold,-0.0387829428571,695000.0,2018-08-30,house
1726,"Flat 4 67 Randolph Avenue, London, W9 1DW",Non-Newbuild,,Flat,,,Leasehold,,1700000.0,2018-08-30,
1727,"Flat 28 Wimbledon Close The Downs, London, SW20 8HW",Non-Newbuild,,Flat,,,Leasehold,,740000.0,2018-08-30,
1728,"41 Melrose Avenue, London, N22 5EA",Non-Newbuild,highway,Terraced,0.51,51.6003956,Freehold,-0.0964857,685000.0,2018-08-30,residential
1729,"Flat 2 37 Fortess Road, London, NW5 1AD",Non-Newbuild,highway,Flat,0.61,51.5544798,Leasehold,-0.1401181,613500.0,2018-08-30,primary
1730,"181 Gordon Road, London, SE15 3RT",Non-Newbuild,building,Terraced,0.521,51.46676915,Freehold,-0.059625372932,890000.0,2018-08-30,yes
1731,"49 Woodville Road, London, E18 1JT",Non-Newbuild,place,Terraced,0.421,51.5836939727,Freehold,-0.0307877272727,770000.0,2018-08-30,house
1732,"Flat A 9 Sinclair Gardens, London, W14 0AU",Non-Newbuild,,Flat,,,Leasehold,,815000.0,2018-08-30,
1733,"5 Eastmearn Road, West Dulwich, London, SE21 8HA",Non-Newbuild,,Semi Detached,,,Freehold,,1150000.0,2018-08-30,
1734,"27 Pollard Road, London, N20 0UE",Non-Newbuild,highway,Semi Detached,0.61,51.6265352,Freehold,-0.1654637,755000.0,2018-08-30,residential
1735,"Flat 7 Solstice Point, 86 Delancey Street, London, NW1 7SA",Non-Newbuild,,Flat,,,Leasehold,,700000.0,2018-08-30,
1736,"5 Horncastle Road, London, SE12 9LH",Non-Newbuild,highway,Semi Detached,0.51,51.4476979,Freehold,0.0231332,403000.0,2018-08-30,residential
1737,"151 Chevening Road, London, NW6 6DZ",Non-Newbuild,building,Semi Detached,0.421,51.53847675,Freehold,-0.211967145534,3312500.0,2018-08-30,yes
1738,"6 Bramber Road, London, N12 9NE",Non-Newbuild,highway,Terraced,0.61,51.6131409,Freehold,-0.1655873,964000.0,2018-08-30,residential
1739,"24 Gilpin Avenue, London, SW14 8QY",Non-Newbuild,building,Semi Detached,0.521,51.4640297,Freehold,-0.260871426303,1398382.0,2018-08-30,yes
1740,"Flat A 25 Upham Park Road, London, W4 1PQ",Non-Newbuild,,Flat,,,Leasehold,,555000.0,2018-08-30,
1741,"21 Lyndhurst Gardens, London, N3 1TA",Non-Newbuild,highway,Semi Detached,0.51,51.6021463,Freehold,-0.203555,774292.0,2018-08-30,residential
1742,"Studio Flat 72 Heath Street, London, NW3 1DN",Non-Newbuild,,Flat,,,Leasehold,,250000.0,2018-08-30,
1743,"16 Derwent Grove, London, SE22 8EA",Non-Newbuild,building,Semi Detached,0.621,51.4606605,Freehold,-0.0789548263218,1315000.0,2018-08-30,yes
1744,"8 Godwin Road, London, E7 0LE",Non-Newbuild,highway,Terraced,0.51,51.5531078,Freehold,0.0310954,640000.0,2018-08-30,residential
1745,"Flat 1 72 Heath Street, London, NW3 1DN",Non-Newbuild,highway,Flat,0.61,51.5572361,Leasehold,-0.1782664,440000.0,2018-08-30,primary
1746,"48 Drakefell Road, Brockley, London, SE14 5SJ",Non-Newbuild,highway,Semi Detached,0.52,51.4660191,Freehold,-0.0384989,890000.0,2018-08-30,secondary
1747,"10 Rickard Close, London, NW4 4XH",Non-Newbuild,place,Terraced,0.521,51.58826438,Freehold,-0.2327496,587000.0,2018-08-30,house
1748,"Flat 34 Liverpool House Liverpool Road, London, N7 8QB",Non-Newbuild,,Flat,,,Leasehold,,500000.0,2018-08-30,
1749,"15 Couthurst Road, London, SE3 8TN",Non-Newbuild,highway,Terraced,0.61,51.4794549,Freehold,0.0260097,530000.0,2018-08-30,residential
1750,"23 Montacute Road, London, SE6 4XL",Non-Newbuild,highway,Terraced,0.61,51.4465354,Freehold,-0.0324264,630000.0,2018-08-30,residential
1751,"Apartment 28 Foundry House, 5 Lockington Road, London, SW8 4BE",Non-Newbuild,,Flat,,,Leasehold,,750000.0,2018-08-30,
