,addresses,build_status,category,flat_type,importance,latitude,lease_type,longitude,prices,sale_dates,subcategory
1228,"40 Quaggy Walk, London, SE3 9EJ",Non-Newbuild,highway,Terraced,0.61,51.4589718,Freehold,0.0140044,600000.0,2018-09-03,residential
1229,"32a Thurlow Hill, London, SE21 8JN",Non-Newbuild,highway,Flat,0.61,51.4401969,Leasehold,-0.1004365,391000.0,2018-09-03,uncategoryified
1230,"Flat 47 Sir Francis Drake Court, 43 - 45 Banning Street, London, SE10 0FF",Non-Newbuild,,Flat,,,Leasehold,,157500.0,2018-09-03,
1231,"4 Amberley Grove, London, SE26 6DG",Non-Newbuild,highway,Terraced,0.51,51.4261857,Freehold,-0.0649163,420000.0,2018-09-03,residential
1232,"Flat 3 Plumpton Court Brockley Park, London, SE23 1PX",Non-Newbuild,,Flat,,,Leasehold,,312000.0,2018-09-03,
1233,"53 Swanton Gardens, London, SW19 6BL",Non-Newbuild,highway,Flat,0.51,51.4450034,Leasehold,-0.217649,345000.0,2018-09-03,residential
1234,"17 Lytham Close, London, SE28 8QH",Non-Newbuild,highway,Terraced,0.61,51.5113981,Freehold,0.1329636,355000.0,2018-09-03,residential
1235,"Flat 5 27 Therapia Road, London, SE22 0SF",Non-Newbuild,highway,Flat,0.61,51.4526544,Leasehold,-0.0564281,400000.0,2018-09-03,residential
1236,"101 Lavender Walk, London, SW11 1JS",Non-Newbuild,building,Terraced,0.621,51.46325915,Freehold,-0.163792135267,975000.0,2018-09-03,yes
1237,"15 White Lodge, London, SE19 3HR",Non-Newbuild,highway,Terraced,0.61,51.4175354,Freehold,-0.1040567,394000.0,2018-09-03,residential
1238,"Basement Flat 42 Rossiter Road, London, SW12 9RU",Non-Newbuild,,Flat,,,Leasehold,,533000.0,2018-09-03,
1239,"38 Shalstone Road, East Sheen, London, SW14 7HR",Non-Newbuild,highway,Flat,0.61,51.4681133,Leasehold,-0.2746627,600000.0,2018-09-03,residential
1240,"7 Broad Lawn, London, SE9 3XE",Non-Newbuild,highway,Semi Detached,0.61,51.4384852,Freehold,0.0598529,578000.0,2018-09-03,residential
1241,"34 Balcaskie Road, London, SE9 1HQ",Non-Newbuild,highway,Terraced,0.51,51.4541359,Freehold,0.0568898,862500.0,2018-09-03,residential
1242,"51 Franche Court Road, London, SW17 0JX",Non-Newbuild,building,Terraced,0.621,51.4357581,Freehold,-0.183438914619,871000.0,2018-09-03,yes
1243,"12 Gadwall Way, London, SE28 0DB",Non-Newbuild,highway,Terraced,0.31,51.5139111,Freehold,0.0256595,282500.0,2018-09-03,residential
1244,"40b Radford Road, London, SE13 6RZ",Non-Newbuild,highway,Flat,0.61,51.4517306,Leasehold,-0.0084544,422000.0,2018-09-03,residential
1245,"Flat 5 243a Wimbledon Park Road, London, SW18 5RJ",Non-Newbuild,,Flat,,,Leasehold,,545000.0,2018-09-03,
1246,"100 Lansdowne Way, London, SW8 2EP",Non-Newbuild,highway,Terraced,0.52,51.4746258,Freehold,-0.1216084,1030000.0,2018-09-03,residential
1247,"126 Griffin Road, Plumstead, London, SE18 7QD",Non-Newbuild,highway,Terraced,0.62,51.4892183,Freehold,0.085496,495000.0,2018-09-03,tertiary
1248,"First And Second Floor Flat 15 Richborne Terrace, London, SW8 1AS",Non-Newbuild,,Flat,,,Leasehold,,780000.0,2018-09-03,
1249,"Flat 545 Bromyard House Bromyard Avenue, London, W3 7FD",Non-Newbuild,,Flat,,,Leasehold,,337000.0,2018-09-03,
1250,"129 Railway Arches Three Colts Lane, London, E2 6JN",Non-Newbuild,,,,,Leasehold,,35350.0,2018-09-03,
1251,"Flat 42 Farthing Court, 33 Langstone Way, London, NW7 1GQ",Non-Newbuild,,Flat,,,Leasehold,,515000.0,2018-09-03,
1252,"Unit 11 Northfields Prospect Business Centre Northfields, London, SW18 1PE",Non-Newbuild,,,,,Freehold,,625000.0,2018-09-03,
1253,"Flat 3 The Glass House, 3 Royal Oak Yard, London, SE1 3GE",Non-Newbuild,,Flat,,,Leasehold,,810000.0,2018-09-03,
1254,"6 Chatsworth House Duchess Walk, London, SE1 2RY",Non-Newbuild,,Flat,,,Leasehold,,625000.0,2018-09-03,
